Region;Nazwa;R_2004;R_2005;R_2006;R_2007;R_2008;R_2009;R_2010;R_2011;R_2012;R_2013;R_2014;R_2015;R_2016;R_2017;R_2018
CZ01;Praha;37000;39700;41900;46700;47700;45000;45500;45800;45900;46700;48400;53300;53600;56100;59100
CZ02;Strední Cechy;16900;17200;18600;20200;20500;18900;18700;19600;19900;20000;21900;22800;23800;25100;25400
CZ03;Jihozápad;16300;17200;18100;19000;18600;18400;18600;19000;19100;20000;21200;22100;22500;23200;24100
CZ04;Severozápad;14300;14900;15600;16800;16900;16700;16300;16700;16800;16900;17600;18800;18200;19000;19600
CZ05;Severovýchod;14800;15600;16400;17800;17800;17000;17400;17900;17900;18300;19600;20800;21300;22600;23400
CZ06;Jihovýchod;15400;16200;17200;19000;19500;18800;18900;19700;20300;21200;22400;23600;23600;24300;25800
CZ07;Strední Morava;13800;14400;15200;16600;17300;16600;16800;17500;17700;18100;19800;20600;21000;22000;22800
CZ08;Moravskoslezsko;14200;15600;16100;17700;18300;17000;17500;18600;18900;18700;20000;21000;21300;22100;23400
HU11;Budapest;28300;30600;32800;33700;35800;35600;36100;37500;38100;38000;39300;40100;39800;41800;44600
HU12;Pest;12200;13100;13300;14700;14400;13500;14400;14600;14500;15200;15800;16700;16000;16200;17400
HU21;Közép-Dunántúl;13000;13600;13900;14500;14900;13200;14300;15300;15300;16200;17100;18800;18900;19300;20200
HU22;Nyugat-Dunántúl;14400;14600;15700;15800;16300;15100;16900;17700;17800;18400;20000;21700;21600;21600;22200
HU23;Dél-Dunántúl;9600;9900;10100;10500;11100;10700;11100;11500;11900;12300;12500;13300;13200;13900;15100
HU31;Észak-Magyarország;8800;9400;9600;9800;10000;9300;9800;10300;10300;11100;11800;13400;13200;14200;15100
HU32;Észak-Alföld;9200;9500;9800;9700;10200;10000;10500;11300;11300;11500;12100;12800;12500;13200;14100
HU33;Dél-Alföld;9700;10100;10400;10500;11100;10500;11000;11600;12100;12700;13400;14500;14200;14700;16000
PL21;Malopolskie;10000;10500;11300;12300;13000;12900;14000;15100;15700;15900;16600;18000;18100;18900;20100
PL22;Slaskie;12600;12700;13300;14600;15500;15500;17000;18300;18900;18700;19400;20700;20700;21500;22600
PL41;Wielkopolskie;12100;12700;13300;14600;15300;15600;16700;17900;18800;19200;20000;21600;21800;22600;23500
PL42;Zachodniopomorskie;10200;10700;11300;12200;13000;12700;13600;14300;14900;14900;15600;16900;16700;17300;18100
PL43;Lubuskie;10000;10700;11200;12300;12600;12400;13400;14100;14800;14900;15700;16600;16800;17100;17900
PL51;Dolnoslaskie;11400;12200;13400;15100;15700;15900;17900;19400;20200;20100;20900;22300;22100;22900;23900
PL52;Opolskie;9600;9800;10200;11600;12500;11900;13100;13900;14400;14400;15100;16100;15900;16500;17300
PL61;Kujawsko-Pomorskie;9900;10200;10800;11900;12400;12200;13200;13900;14500;14700;15200;16300;16300;16800;17700
PL62;Warminsko-Mazurskie;8500;8900;9400;10200;10700;10700;11500;12300;12700;12800;13300;14100;14200;14600;15000
PL63;Pomorskie;11100;11700;12400;13700;13800;14300;15300;16400;17400;17300;17800;19200;19300;20000;21100
PL71;Lódzkie;10400;10900;11600;12800;13400;13300;14700;15800;16600;16700;17500;18700;18600;19300;20200
PL72;Swietokrzyskie;9000;9100;9800;11000;11900;11500;12300;13000;13300;13100;13600;14400;14300;14800;15700
PL81;Lubelskie;8000;8300;8700;9700;10300;10000;11000;11800;12500;12700;13000;13700;13800;14300;14700
PL82;Podkarpackie;8200;8500;9000;9800;10400;10300;11100;12000;12400;12800;13200;14100;14100;14500;15400
PL84;Podlaskie;8300;8700;9100;10300;10600;10700;11600;12400;12700;13100;13500;14200;14100;14900;15500
PL91;Warszawski stoleczny;23800;25600;27200;30100;30800;31400;35400;37300;39100;39800;41300;43600;43600;45500;47900
PL92;Mazowiecki regionalny;9200;9600;10200;11200;11700;11900;13200;14500;15200;15100;15700;17000;17000;17700;18400
SK01;Bratislavský kraj;29600;34700;36900;41900;44000;43800;47400;49700;50100;51700;52300;55300;52100;52000;53300
SK02;Západné Slovensko;12100;13200;15400;16900;17700;16100;17500;18600;19300;19100;20000;20500;19400;19500;20600
SK03;Stredné Slovensko;10400;10900;12000;13600;15000;13900;15500;15300;16000;16200;16900;18000;16800;17100;18000
SK04;Východné Slovensko;9400;10100;10700;11800;13100;11800;12900;13300;14000;14000;14800;15800;14700;15300;16300
