Okres;Y;X1;X2;
2013.01;54,4;-33,0;98,6;
2013.02;54,2;-29,9;98,4;
2013.03;65,6;-26,0;98,2;
2013.04;70,8;-23,1;98,1;
2013.05;82,4;-16,8;98,0;
2013.06;98,1;-16,9;98,0;
2013.07;105,6;-14,9;98,1;
2013.08;104,8;-13,3;98,1;
2013.09;114,8;-14,8;98,2;
2013.10;131,1;-18,3;98,2;
2013.11;119,6;-22,3;98,3;
2013.12;145,3;-26,8;98,3;
2014.01;52,3;-20,0;98,3;
2014.02;62,0;-18,0;98,4;
2014.03;77,1;-11,5;98,5;
2014.04;79,5;-7,3;98,5;
2014.05;90,7;-6,0;98,6;
2014.06;105,9;-4,5;98,7;
2014.07;106,7;-4,3;98,8;
2014.08;101,0;-4,0;99,1;
2014.09;121,2;-6,9;99,2;
2014.10;129,7;-10,5;99,3;
2014.11;117,6;-13,5;99,4;
2014.12;152,5;-18,8;99,2;
2015.01;53,0;-12,8;99,5;
2015.02;61,8;-11,3;99,6;
2015.03;79,3;-6,6;99,7;
2015.04;86,2;-3,5;99,7;
2015.05;91,8;-2,0;99,7;
2015.06;103,2;-2,0;99,6;
2015.07;106,6;-1,2;99,6;
2015.08;105,8;-0,9;99,4;
2015.09;118,2;-5,3;99,4;
2015.10;123,0;-7,8;99,3;
2015.11;119,0;-11,6;99,3;
2015.12;152,0;-16,1;99,1;
2016.01;48,4;-12,7;99,3;
2016.02;55,3;-9,1;99,3;
2016.03;66,8;-6,9;99,2;
2016.04;73,4;-2,4;99,3;
2016.05;79,2;-1,1;99,4;
2016.06;89,7;-1,4;99,5;
2016.07;86,6;-1,9;99,6;
2016.08;84,2;-3,3;99,8;
2016.09;100,1;-5,4;99,8;
2016.10;98,4;-9,1;99,9;
2016.11;103,7;-12,3;100,0;
2016.12;139,8;-17,4;100,2;
2017.01;49,4;-9,8;100,3;
2017.02;52,4;-6,8;100,3;
2017.03;78,2;-1,4;100,4;
2017.04;76,6;2,7;100,4;
2017.05;85,8;2,5;100,4;
2017.06;100,1;6,4;100,3;
2017.07;103,7;6,3;100,3;
2017.08;104,1;5,2;100,4;
2017.09;115,4;2,7;100,7;
2017.10;118,3;0,4;101,0;
2017.11;124,2;-1,9;101,2;
2017.12;157,8;-6,7;101,4;
2018.01;66,6;0,8;101,5;
2018.02;68,7;3,2;101,7;
2018.03;90,8;5,1;101,9;
2018.04;91,7;6,9;102,1;
2018.05;103,5;7,2;102,4;
2018.06;124,9;7,3;102,8;
2018.07;123,0;6,4;103,1;
2018.08;125,0;6,4;103,2;
2018.09;134,4;4,0;103,3;
2018.10;144,9;1,5;103,3;
2018.11;145,4;-0,8;103,4;
2018.12;177,2;-2,8;103,7;
2019.01;68,7;2,7;103,6;
2019.02;79,1;4,9;103,7;
2019.03;100,6;7,3;103,7;
2019.04;107,7;8,9;103,8;
2019.05;113,4;7,7;103,7;
2019.06;124,0;7,8;103,7;
2019.07;131,2;6,2;103,5;
2019.08;128,3;5,6;103,5;
2019.09;144,6;3,2;103,3;
2019.10;139,1;0,7;103,2;
2019.11;138,5;-1,9;103,0;
2019.12;171,4;-4,6;102,9;
